car,move
G,1
AK,-5
AG,-1
AQ,-1
J,3
Q,2
X,-1
Q,-1
Q,1
T,-5
AK,2
A,1
Q,-2
Y,-1
Q,2
B,3
L,1
AS,3
G,-2
J,-5
X,-1
N,-1
N,2
AQ,1
C,2
AR,-1
X,1
C,-2
K,-1
L,-1
AP,-1
J,-1
N,-2
C,-1
J,1
T,-1
AL,1
AG,2
E,1
T,-3
AA,-1
AE,1
Q,-3
T,4
S,-1
AS,-4
U,-4
J,-1
X,5
J,-1
AS,4
T,4
AL,-1
E,-1
T,1
AB,1
N,-1
L,1
AE,-2
AK,-1
Q,1
AE,3
K,1
AD,4
U,-1
AB,-1
S,2
L,-1
R,4
AD,-1
AI,-1
U,1
Q,2
U,5
AI,1
C,1
K,-2
M,2
M,-2
C,1
T,-5
AR,1
G,4
AI,1
AP,1
K,2
AK,-1
C,-2
Y,1
E,-2
T,-4
AJ,1
E,1
M,-1
AE,-1
R,2
N,-2
AK,1
X,-5
H,-5
E,-1
AJ,-1
M,1
S,-1
AS,-3
L,1
Q,-1
E,1
L,-1
Q,-1
F,1
I,-3
AA,2
L,-1
G,-1
AK,-1
Y,-1
AJ,1
I,-1
F,-1
G,1
F,1
U,-1
S,-1
AA,-4
Q,4
S,1
C,5
K,1
C,-3
AS,3
I,4
AG,-1
K,5
C,1
X,5
K,-5
AK,2
AC,-1
E,-1
AK,1
J,2
K,-3
R,1
L,1
L,-1
AK,-1
C,2
M,-1
AC,1
K,1
AC,-1
U,1
M,1
W,1
K,2
M,1
G,1
J,-1
P,-1
R,-1
AC,1
R,1
Y,1
K,-1
I,-3
L,1
AK,3
M,1
I,1
C,-5
Q,-4
K,-2
AK,-4
W,1
J,-1
F,1
Q,4
M,-2
C,3
AR,-1
K,3
J,1
AA,1
AA,-1
X,-5
T,4
G,-1
B,-5
AR,1
X,-2
B,-1
X,1
T,-4
S,2
AA,-1
U,-1
L,-1
AK,4
AR,-5
AL,1
T,4
K,-3
AR,-1
R,-2
Q,1
H,3
I,2
T,-3
Y,-1
C,3
R,2
W,-2
W,1
I,-1
G,-1
M,1
X,3
B,2
Q,-5
A,-1
R,-1
AJ,-1
AR,1
B,-2
AC,-1
W,1
L,2
L,-2
A,1
AR,5
AK,-4
AK,2
G,-1
Q,5
AM,1
B,-1
X,3
AK,-1
AR,-2
N,4
J,-1
B,1
K,-1
AH,-1
B,2
AJ,1
I,1
P,2
AR,-1
AR,2
L,2
AR,-1
C,-2
M,-1
AD,-1
B,-3
X,-4
T,2
Q,1
C,1
W,-1
G,-1
T,-1
X,-2
T,1
P,-2
R,1
W,-1
Q,-2
AR,-1
K,2
L,1
K,5
T,1
AK,4
I,-1
AM,-1
R,-1
X,1
R,1
A,-1
E,1
L,-1
K,-3
R,-1
AK,-5
AE,-1
C,-2
AR,2
AR,-3
L,1
K,3
G,-1
AK,5
AK,-5
C,1
AJ,-1
I,1
AP,-1
Q,-1
T,-2
Q,-5
I,-1
K,1
X,-1
X,1
AR,2
J,5
T,1
J,4
AM,1
AK,1
N,-1
R,-2
I,1
AE,1
C,2
AI,-1
I,-1
AD,1
AD,-1
Q,1
AD,-2
T,-2
A,1
F,1
AK,1
G,1
AK,-1
G,-1
AK,1
G,1
AR,-4
F,-1
C,4
AE,-3
A,-1
J,-2
T,2
Q,1
J,2
X,2
B,4
I,1
Q,1
AE,3
Q,-2
AI,-1
B,-4
A,1
X,-2
N,1
AE,-3
AG,-1
AG,2
J,-1
X,1
AP,1
AE,1
C,-5
AJ,-4
AG,-3
AG,1
C,1
AG,2
I,-1
AE,3
T,-2
AE,-2
AG,-1
J,-1
AH,-1
AH,-5
X,-1
AK,-5
K,-5
L,-1
G,1
AS,3
K,-1
Q,1
X,1
E,-1
T,1
K,-1
G,-2
N,-2
AH,5
J,2
AM,-1
A,-1
AE,-1
AM,1
U,-5
T,-1
AR,4
AR,-5
AR,4
AJ,4
U,5
AH,-5
L,-2
N,2
AG,-1
AD,1
AS,-3
AR,-3
C,1
N,-1
X,4
AR,4
I,-1
T,-1
L,-4
X,-4
AR,-1
E,2
AE,1
AR,-4
X,-1
M,1
Q,1
E,1
J,-1
AR,4
AR,-1
Q,-1
AK,2
F,1
I,1
L,4
AB,-3
AR,-1
AJ,-4
AS,2
K,1
X,5
Q,-2
M,-1
AR,2
Q,2
AP,-1
AR,-2
AK,4
X,1
AR,-2
T,4
E,-3
AH,5
AD,1
H,-4
A,1
V,-1
F,-3
T,-4
T,4
J,-4
J,5
AK,-1
V,1
AH,-5
T,-4
AK,-5
AM,-1
AQ,-1
AR,1
K,-1
AM,1
X,-4
AH,5
K,2
K,-1
J,-4
AR,-1
AM,-1
AB,-1
AL,-1
AB,1
X,-1
AL,1
AS,-2
AH,-5
AO,1
T,3
AB,-1
R,1
AQ,1
AG,2
L,2
Q,1
Q,-1
L,-2
N,1
T,-3
X,5
X,-1
C,-1
AG,-1
N,-2
X,-3
N,1
AH,5
J,2
AS,3
J,1
AS,-3
K,-1
V,-1
B,1
R,-1
AR,4
AR,-3
M,1
N,-1
AK,1
AS,1
M,1
AS,-1
V,1
AR,1
I,-1
AK,5
R,-1
AB,4
C,1
AB,-3
R,1
AO,-1
AK,-5
AR,2
J,1
R,-1
AH,1
R,2
I,2
X,-1
P,1
AB,3
AM,1
K,1
K,-1
R,-1
B,-1
AR,-3
K,1
AJ,4
AJ,-4
X,4
AR,2
F,2
AH,-2
AO,1
AH,2
AH,-1
J,-1
AG,1
AK,-1
AG,-1
A,-1
C,-1
AD,-1
AE,-1
AF,1
L,1
AH,-1
O,1
R,-1
V,-1
S,-1
AJ,4
X,-3
AO,-1
L,1
J,-1
AA,2
AO,1
D,1
D,-1
AK,3
D,1
AD,-1
L,1
AA,-1
AA,3
AI,2
K,5
AR,4
C,3
N,4
AK,1
K,-5
AA,-1
A,-1
G,2
AO,-1
A,2
AK,-4
D,-1
AD,1
P,1
F,-2
B,1
C,-1
F,2
R,1
AM,-1
X,-1
AR,-5
Q,1
AA,-3
P,-2
AC,1
I,-1
G,-2
C,-1
AR,-1
AC,-1
K,1
X,4
N,-1
K,-1
F,-4
K,1
AR,1
AC,1
L,-3
Q,-1
AM,1
K,-2
F,1
B,-1
L,-4
I,-3
G,2
AG,-1
AC,-1
AR,1
AQ,-1
AI,-2
I,2
C,3
F,3
AR,4
J,-4
N,-5
J,4
AA,2
AA,-2
N,5
AK,4
J,-1
F,-3
AD,-1
AQ,1
I,-1
AI,1
P,2
H,5
G,-1
I,-1
N,1
P,-2
AD,1
Q,2
L,4
Q,2
K,-1
H,-5
F,2
AP,1
H,3
L,-5
H,-3
R,-1
D,1
J,1
B,1
AJ,1
B,-1
P,2
N,-1
X,-4
AA,1
J,-1
A,-4
L,1
AA,3
B,1
A,1
I,-1
A,-1
AA,5
V,1
I,5
AA,-5
F,-1
A,4
J,-5
L,5
AR,-3
P,-1
C,-5
AA,-1
C,-5
L,-5
A,-4
F,1
V,-2
X,4
AC,-5
F,-1
Q,1
A,1
Q,-4
AK,5
AI,-1
AM,-1
G,1
F,1
AC,5
AR,-3
AR,3
AK,-1
AR,-3
AA,-2
L,4
AK,-1
A,-1
V,2
AG,1
K,2
AG,-1
AR,2
AQ,-1
A,2
AL,-1
L,1
F,1
AR,-2
AK,2
J,4
AD,-1
B,4
AI,2
G,-1
J,-5
AI,-2
R,-1
AR,1
AQ,1
G,1
X,-4
AR,-2
P,-1
J,-1
AR,4
J,3
AQ,-1
AR,1
AI,1
J,3
AH,3
I,-2
AI,-1
B,5
AJ,-5
AP,-1
AO,1
R,1
AR,-4
M,-1
D,-1
Q,-1
X,-1
AO,-1
AR,-2
AQ,1
AA,1
J,2
K,-1
AK,-5
O,-1
N,-1
I,1
Q,2
AO,1
F,-1
AK,5
AR,1
X,1
X,-1
F,1
AR,2
L,2
O,1
Q,-2
AR,-4
U,1
F,-1
D,1
A,-1
J,-1
R,1
J,-3
AB,-5
X,1
AK,-1
AR,5
X,-1
L,-1
N,1
Q,2
Q,-2
J,-2
AR,-2
X,1
AK,-2
X,5
L,-1
AJ,4
G,1
AK,2
AI,3
L,1
X,-5
AI,-1
AI,-2
AS,3
X,5
AA,-1
K,2
AA,4
AQ,-1
L,-1
AS,-2
AJ,-4
F,-1
AK,-2
AS,2
G,-2
G,1
M,1
K,-1
AB,1
R,-2
Q,2
AJ,1
L,-1
S,-1
A,-1
C,3
L,2
A,2
K,5
AK,2
S,1
B,-5
G,-1
B,-4
X,-5
K,-5
I,-4
B,4
AQ,1
AC,1
AS,-2
I,1
AJ,-1
L,-5
A,2
X,5
B,-5
AG,1
A,-1
AJ,1
L,3
I,1
I,1
I,-1
M,-1
AA,3
K,2
AK,1
A,-2
R,1
J,-2
I,-2
AI,1
AR,-1
AC,-1
X,-1
R,-1
G,-1
K,-1
AG,1
AR,2
X,-4
I,4
R,2
AB,1
F,3
AO,-1
G,2
R,-1
AP,1
AS,1
AA,1
X,-1
A,2
G,-1
G,1
G,-1
N,-1
AA,-1
B,1
J,3
AR,-5
X,1
A,-2
AA,-3
AI,-1
A,1
AJ,-1
J,2
K,-2
G,1
G,-2
N,-1
A,1
L,-4
AJ,1
AA,3
J,-1
AJ,4
I,-1
R,1
N,2
X,4
N,-3
N,1
AB,-1
D,-1
AC,1
G,1
J,1
U,-5
H,3
AC,-1
L,5
AR,3
X,2
U,5
X,-2
R,-1
H,1
AS,-1
K,2
L,-1
C,-3
L,1
A,-1
W,1
X,1
N,2
N,-1
AJ,-5
AP,-1
I,2
H,-1
A,1
R,1
N,1
AA,1
J,-5
Q,-1
AK,-5
W,-1
K,-1
W,1
G,2
G,-2
X,-1
K,2
I,-2
Q,-1
X,1
AS,1
U,-1
R,-2
Q,1
AP,1
AP,-1
L,-1
X,1
AO,1
AA,-4
A,-1
AS,-1
Q,-1
AL,1
AC,1
K,-1
B,1
R,1
AS,1
K,1
AB,1
R,1
AA,5
AS,-1
M,-1
Y,1
W,1
AS,1
Q,2
AL,-1
AS,-2
T,4
T,-4
Y,-1
AG,-2
C,3
AC,-1
AL,1
G,-1
AS,2
H,1
F,-5
M,1
AA,-1
I,-2
AL,-1
AA,1
I,-1
C,-3
AK,4
I,1
I,-1
M,-1
AA,-1
F,5
AR,4
AS,-2
AB,-1
AQ,-1
G,1
G,-1
Q,-2
M,1
K,-3
G,2
AR,-2
AO,-1
AB,1
X,-1
P,2
AB,-1
O,-1
G,-2
G,1
P,-2
AC,1
AL,1
X,1
G,-1
AB,1
X,-2
T,1
AQ,-5
AC,-1
AB,3
X,-4
AR,-2
T,-1
B,-1
AK,-1
Q,1
AQ,1
W,-1
R,-1
AQ,-1
AK,1
AK,-3
N,-1
AP,1
AG,2
Q,1
N,1
K,1
Q,-1
G,3
O,1
AP,-1
N,-4
W,-1
AB,-3
T,2
G,1
W,1
G,-1
B,2
AS,2
AR,1
D,1
AL,5
AM,3
AM,-2
AS,-2
AQ,1
K,-1
X,4
S,1
AP,-4
AG,-1
AM,2
W,1
AR,5
AA,-1
A,-2
Q,1
K,-1
AP,-5
AG,1
J,3
AM,-3
AG,-1
AP,5
AM,1
AK,-1
AK,-5
AR,-2
AR,-1
J,5
B,5
AJ,5
W,-2
U,1
A,-1
AJ,-4
AR,-2
AJ,5
E,1
X,-3
AL,1
AC,1
AJ,-1
R,1
AH,-1
AA,1
U,-1
K,1
R,-1
L,3
AD,1
AR,1
U,1
AJ,-5
AD,-1
AE,-1
L,-3
J,-5
Y,1
Y,-1
AJ,5
K,1
AI,3
AO,1
X,-1
AJ,2
AO,-1
AB,-1
AI,-1
G,1
AO,1
AH,-1
AH,-5
AP,1
C,1
AI,-2
AM,-1
U,-1
AB,1
Q,-1
X,-1
U,1
V,-3
K,-1
G,4
K,1
AO,-1
X,5
K,-1
K,1
X,-3
R,-1
T,-1
V,3
AM,1
AL,-1
A,1
X,3
X,-5
AA,-1
X,5
M,1
AQ,-1
AM,1
AR,5
AJ,-1
X,1
AB,-1
AM,-1
R,1
AI,2
AR,-5
X,-4
AJ,-1
Q,1
AJ,2
Q,-1
AP,-1
AI,-2
AJ,-2
L,-3
M,-1
AH,5
X,-1
R,-1
Y,1
AL,1
Q,-1
G,-4
J,5
AI,3
AQ,1
AI,-1
AI,-2
AJ,1
L,3
AM,-1
AR,-1
AM,1
A,-5
L,2
B,-3
B,3
V,-2
G,-1
D,-1
T,1
AJ,-5
AA,-1
AM,-1
R,1
G,4
T,-2
L,1
K,-1
AA,1
V,1
Q,2
AO,1
C,2
X,4
AJ,4
G,-4
G,5
N,-1
K,1
E,1
L,-2
V,1
G,-5
U,-2
X,-3
V,-1
B,-1
J,1
X,3
E,-1
AM,1
K,1
K,-1
C,-1
E,1
V,1
C,1
H,-1
G,-1
AM,1
U,1
U,1
B,1
U,-2
U,1
L,2
C,-2
AM,-1
AA,-1
AA,3
L,-2
X,-3
AO,-4
AA,-2
AP,5
AR,-1
U,-1
AK,5
AL,-3
AJ,1
V,-2
AA,-1
C,1
R,-3
AJ,-2
U,-1
AP,-1
AO,5
AI,1
M,-1
G,1
U,1
AK,-5
AR,1
G,-1
Q,-1
V,-1
X,4
M,1
K,1
M,1
V,1
R,1
AI,-1
M,-1
AO,1
X,-4
AM,1
V,-1
AQ,-1
AQ,1
V,2
U,2
AQ,-1
G,1
AJ,-4
B,-1
C,-1
G,5
V,-2
R,2
AS,1
AL,1
AS,2
N,2
AA,-2
R,-1
B,1
C,1
AR,-1
C,-1
E,-1
Y,-5
AG,1
K,-1
N,-2
H,1
AR,1
B,-1
D,1
AP,-4
Y,4
AP,1
AA,4
D,-1
AJ,5
N,2
D,1
V,1
D,-1
N,1
K,1
X,4
N,-3
V,-1
AI,2
E,3
Q,5
AS,-3
G,-1
AH,-3
B,1
AS,3
AH,3
AS,-3
C,4
AR,1
AI,1
K,1
AA,1
AJ,1
K,-1
H,-5
N,3
AH,4
H,-1
L,-1
C,-4
AH,-4
AK,3
AJ,-1
K,-1
W,1
V,2
AQ,1
AB,1
V,-1
F,-3
AK,-1
C,5
K,1
C,-3
X,-5
C,3
AP,-1
C,-3
V,-1
N,1
I,2
AH,4
I,-1
S,-1
AM,-1
W,-1
B,1
G,-1
AE,1
AG,-1
AK,1
C,-2
AP,1
AJ,1
J,-1
AM,1
AP,-1
X,-1
AK,-3
Y,-4
AA,-3
AM,-1
Q,-5
AH,-1
AK,3
C,1
X,1
W,1
AJ,-1
B,1
AA,1
C,-1
I,1
W,-1
K,-1
K,1
AC,-3
J,-1
AK,-1
C,1
J,2
AL,-1
AO,-1
E,-1
AM,-1
B,-3
AR,-5
AQ,1
E,1
P,2
AG,1
AR,5
B,2
K,1
B,1
AH,1
K,-1
AO,1
AP,1
S,-1
AA,-4
AA,5
N,-4
X,5
AO,-1
P,-1
P,-1
AD,1
N,3
AL,-4
T,5
AJ,1
H,1
AG,-1
AK,-1
AR,-1
AJ,-1
R,-2
G,-1
R,2
AA,-1
AL,4
AR,3
N,-3
X,-1
K,-1
B,-1
G,1
J,-5
AR,3
H,-1
C,-1
AA,1
AJ,2
X,1
M,1
AP,3
AG,1
AK,-1
J,1
AB,4
J,-3
Q,4
I,1
M,-1
AR,-4
I,-1
N,4
B,-2
AR,4
X,-1
C,3
L,-3
AG,-1
T,-5
AB,-5
J,5
AK,4
C,-3
W,1
B,2
AP,-4
AQ,-1
Q,-5
AK,1
K,5
T,5
AK,-1
S,-1
K,1
B,-5
Q,5
S,1
B,3
T,5
AK,-3
B,2
AA,-1
AC,2
Q,-5
W,-1
S,-1
AK,-1
I,-1
AS,-4
AK,2
AQ,-1
B,-1
I,-1
L,-2
AQ,1
AA,-1
X,-5
Q,5
B,-1
AQ,-2
AQ,2
Q,-5
AI,4
E,-1
AC,-1
AM,1
J,-3
X,5
AM,-1
AB,-1
AK,-1
F,1
AS,4
J,3
B,-3
AD,-1
AD,1
X,-5
AQ,-1
Q,5
F,-1
AQ,1
E,1
F,2
F,-1
Q,-5
H,1
I,2
H,-1
AI,-4
X,1
AK,1
AJ,-2
E,-1
J,-3
AK,4
S,2
AJ,2
AJ,-3
F,-1
AK,-5
S,-1
AJ,3
Q,1
AI,4
X,-1
E,1
X,5
AD,-1
AR,-3
AR,3
T,-5
X,-5
F,1
AM,2
U,-1
I,-1
J,-1
K,-1
U,1
AH,-1
I,1
J,3
AC,1
L,2
E,1
J,1
Q,-1
T,-4
AK,3
J,-5
H,1
J,4
AM,-1
T,4
H,-1
T,5
T,-1
L,-2
AK,-4
AK,3
AM,1
K,1
Q,1
E,-1
AA,-5
S,1
U,-1
Y,4
N,-1
AK,-2
AM,1
H,1
AG,1
L,1
N,1
X,1
AK,1
J,-1
AH,2
I,-1
AG,-1
B,3
I,-1
AQ,-2
AG,-1
N,-1
AK,5
AH,-2
C,1
V,1
C,-1
AM,-2
S,-1
R,-2
G,-1
S,1
U,1
X,4
AM,-1
AK,-5
Q,1
AG,2
L,-1
Q,-1
R,2
U,-1
AG,-1
AH,1
I,5
AM,1
J,-1
J,2
V,1
AH,-1
G,-5
AM,-1
AM,1
AG,1
N,1
Q,5
N,2
AK,-1
G,3
AQ,-1
J,-1
AA,-1
I,-1
J,1
K,-1
AK,-1
AK,1
AO,-5
R,2
R,-3
N,-1
AQ,-1
C,4
X,-4
K,1
R,3
AK,1
AA,1
AQ,1
N,-5
B,3
G,2
C,-3
AL,1
R,-1
AK,2
AK,-3
J,-1
C,4
R,-2
I,1
C,-4
C,3
AK,2
N,3
V,1
B,-3
V,-1
C,1
V,1
C,-1
AC,1
AH,1
J,-4
R,3
H,-2
J,-1
G,-5
AC,-1
E,-1
E,-1
AL,1
O,-1
AF,-1
AC,1
AE,-1
AN,-1
S,1
Y,1
AL,-3
I,-1
X,1
S,-1
AL,2
R,-1
V,-1
R,1
Y,-1
AO,2
N,-1
M,-2
U,-3
AL,1
U,4
AC,-1
AK,2
U,-4
M,3
AO,-2
AH,-5
AK,-3
U,2
R,-2
AL,-2
AK,3
AO,5
V,-2
C,-1
J,1
AG,-1
R,1
C,-1
AC,1
AH,5
U,2
J,-1
T,1
Y,-3
AK,-1
T,-1
AC,-1
J,1
U,-2
AA,5
C,1
AO,-4
AM,1
Y,-1
X,-2
J,1
AC,1
X,5
L,-2
X,-3
J,-2
AQ,-1
AK,-1
AS,3
U,-2
AP,1
AA,-2
AA,2
L,1
AS,-3
I,-1
AA,-5
AP,4
Y,5
C,1
J,5
AH,-5
AP,-5
X,3
AP,5
U,-1
Y,-1
C,-1
AS,1
AK,-3
AE,1
I,1
I,-1
R,5
Y,-4
U,4
X,-3
Y,5
X,-1
C,1
I,2
AK,3
AA,3
V,3
L,-1
AA,-3
X,1
V,-3
AA,5
AG,1
AK,-3
K,2
X,3
L,2
S,1
V,1
R,-5
I,-1
AG,-1
C,1
K,-1
L,-2
K,1
C,-2
S,-1
AA,-1
Y,-4
U,-4
C,2
AG,-1
K,-2
U,4
X,-4
I,-1
AK,1
AK,2
AA,-1
I,1
J,-4
AM,-1
C,-2
AA,1
K,-5
AM,1
AC,-2
G,5
V,-1
L,1
I,-1
AC,1
AS,1
K,5
B,-3
B,3
B,-3
AG,2
AK,2
AA,-4
AC,-2
AM,-1
AD,1
X,4
I,1
X,1
AQ,1
X,-5
C,1
L,-1
AK,1
J,-1
AH,5
X,5
AA,3
F,-1
V,1
L,1
B,3
J,4
J,-1
AB,1
B,-3
Q,-1
AC,2
J,-2
T,1
AC,-1
V,-1
C,-2
J,2
N,-1
X,-5
M,-1
L,1
J,-2
N,2
N,-2
AM,-1
B,3
J,-1
B,1
R,-1
AA,2
AQ,-1
J,1
L,2
C,2
X,-1
AG,-1
G,-1
L,-1
AG,1
L,-1
AK,-3
R,1
AK,2
K,-1
AM,1
N,1
J,1
B,-4
I,-1
L,-2
N,-1
L,4
K,-5
K,5
B,4
AS,-1
Q,1
L,-2
X,5
X,1
AS,1
AB,1
X,-5
AK,-1
AA,-1
AG,-1
T,-1
X,4
X,2
J,-2
AR,-3
AA,1
L,1
G,-1
AS,-2
AS,2
X,-2
AK,1
G,2
AR,-5
AA,-1
AD,-1
AG,1
AO,-1
N,1
G,-1
B,-4
AE,-1
I,1
AA,1
L,-2
C,-1
AO,1
N,-1
T,1
L,-1
AO,5
B,3
L,3
V,1
X,-5
AN,1
AK,1
L,-3
B,1
AE,2
L,2
N,1
AE,-1
L,-1
G,1
C,1
AN,-1
M,1
C,-1
K,-4
B,-1
I,-1
AK,-1
C,2
AB,-1
X,1
C,-1
N,-1
AO,-5
X,4
B,-3
V,-1
K,5
T,-1
X,2
C,-2
AS,-1
AC,2
Y,4
AK,5
B,4
AM,1
M,-1
X,-1
AA,-2
AM,-1
T,1
X,1
L,2
G,-1
K,-1
X,1
