car,move
T,-1
K,-1
W,-2
R,1
N,-1
B,1
W,1
Y,1
W,-1
C,2
P,-1
C,-2
N,-1
X,1
U,-1
B,1
E,-1
O,1
O,-1
U,-1
Y,-1
V,1
B,-1
V,1
A,-1
Q,1
T,1
R,-1
B,-2
V,-1
O,1
T,-1
Q,-1
V,1
T,-1
X,-1
V,-1
R,1
V,1
B,3
O,-1
A,3
A,-3
T,1
U,1
T,1
B,-3
B,3
N,1
U,-1
R,-1
A,3
O,1
C,1
P,2
R,1
W,2
O,-2
O,2
K,1
X,-1
L,-1
A,-1
L,1
X,1
X,-1
O,-2
O,1
W,-1
K,-1
N,1
C,-1
U,1
B,-1
X,1
K,1
A,-1
G,1
W,1
B,1
A,-1
B,-3
N,-1
O,1
L,-1
R,-1
U,-1
B,1
P,-1
W,-1
V,-2
L,1
V,2
E,1
V,-2
T,-1
C,1
G,-2
W,1
W,-1
U,1
X,-1
M,1
B,2
G,1
W,1
O,-1
B,-3
N,2
N,-2
D,-1
G,-1
R,1
K,-1
D,1
V,1
D,-1
W,-1
V,-1
O,1
W,1
U,1
O,-1
G,1
J,-1
B,1
O,3
O,-1
O,1
A,1
R,-1
B,2
D,-1
N,1
D,1
T,1
T,-1
Y,1
N,1
T,1
A,1
A,-2
U,-2
D,-1
M,1
D,1
U,2
B,-2
M,-1
M,1
Y,-1
W,-1
U,-1
N,-2
N,1
G,-1
U,-1
A,1
T,-1
M,-1
B,1
N,-1
N,1
T,1
A,1
M,1
N,1
M,-1
T,-1
M,1
A,-1
N,2
W,1
G,-1
N,-1
B,1
B,-1
Y,1
B,1
D,-1
D,1
N,-3
O,-1
G,1
K,1
W,-1
A,2
A,-1
T,1
G,-1
R,1
L,-1
R,-1
B,-1
V,1
V,-1
W,1
Y,-1
Y,1
T,-1
M,-2
X,1
X,-1
O,-2
N,3
U,2
U,-1
B,1
D,-1
A,-1
G,2
N,1
G,-2
A,1
X,1
X,-1
Y,-1
A,-1
X,2
O,2
U,-1
G,1
O,-3
H,-2
H,1
A,1
J,1
U,2
G,-1
L,-1
L,2
G,3
A,-1
G,-3
O,2
W,-1
W,-3
W,1
L,-3
U,-1
H,-1
L,1
U,1
Q,2
L,-1
I,-2
Q,-1
T,-1
U,-2
O,-1
V,-4
F,2
O,1
U,1
F,1
L,1
Q,-1
R,-1
O,-1
G,1
F,-2
U,1
U,-2
Q,1
V,5
Q,-1
L,2
Y,1
V,-1
Y,-1
L,-2
T,1
A,-1
V,-3
F,1
F,-2
V,5
A,1
A,1
L,-1
G,-1
L,1
I,1
U,1
Q,1
U,-1
H,1
L,2
L,-2
G,1
U,1
V,-1
V,-2
A,-1
O,1
S,1
H,-1
G,-1
L,-1
L,2
L,-1
H,1
R,1
W,1
W,2
W,-3
I,1
U,-1
I,-1
K,1
V,-2
G,1
Q,-1
A,1
W,3
W,-2
A,-1
U,1
V,1
Q,1
P,1
T,-1
L,1
L,-1
P,-1
H,-1
Y,1
T,1
W,-1
K,2
H,1
S,-1
L,-1
W,2
H,-1
S,1
V,1
S,-1
V,-2
L,1
L,1
I,-1
Q,1
W,-2
I,1
Q,-1
V,2
J,-1
V,1
I,-1
V,-2
V,1
I,2
A,1
H,2
J,1
W,3
V,1
G,3
H,-2
U,1
O,-1
V,-1
N,-1
C,-1
J,-1
N,1
H,2
J,1
L,-2
A,-2
H,-1
N,-1
H,1
A,1
Q,-1
L,1
D,1
A,2
L,-1
C,1
V,1
N,1
G,-4
G,4
X,-1
G,-1
P,-1
X,1
G,1
P,1
X,-1
N,-2
N,1
P,-1
G,-1
N,-1
O,-1
P,1
A,-2
N,2
L,2
N,-4
J,-1
T,1
P,-2
N,2
N,-1
A,1
C,-1
B,-1
C,1
R,1
G,-3
R,-1
L,1
G,1
B,1
X,-1
A,1
O,1
U,-1
W,-1
A,-1
G,-1
X,1
W,1
G,4
P,1
V,1
C,-1
R,1
P,-1
V,-1
U,1
L,-1
A,-1
A,2
G,-2
T,-1
G,1
G,-1
N,-1
A,-2
B,-1
B,1
W,-2
R,-1
A,2
P,2
P,-3
A,-3
P,3
L,1
W,2
B,-3
O,-1
P,-4
J,1
G,1
J,-1
T,1
L,-1
B,3
J,1
B,-1
N,-2
A,1
N,2
G,-1
X,-1
L,-1
L,2
A,1
A,-1
B,1
X,1
B,-1
N,-2
L,-2
R,1
R,-1
N,2
X,-1
V,-1
N,-2
L,1
L,-1
X,1
S,1
U,-1
X,1
K,-3
Y,-1
U,-1
R,1
U,2
L,1
T,-1
G,1
U,-2
K,1
X,-1
L,-2
X,1
R,-1
X,-1
G,-1
X,1
B,1
B,-1
Y,1
G,1
Q,1
L,1
U,2
A,-1
U,-2
Q,-1
N,1
A,2
L,1
T,1
Y,-1
J,-1
A,-2
U,2
B,1
Z,-1
D,-1
Y,-2
K,1
H,-1
Y,2
Z,1
N,-1
Y,1
Q,1
K,-1
A,1
T,-1
H,1
Q,-1
U,-1
T,1
D,1
A,-1
Y,-1
Z,-1
U,-1
D,-1
U,2
U,-1
U,1
J,-1
Y,-1
X,2
M,1
Y,1
Y,-1
A,1
Y,-2
U,-1
Y,-1
N,1
M,-1
X,-1
X,3
Y,5
G,-1
A,1
Y,-1
K,1
A,-2
N,1
Y,-4
C,1
X,-2
Y,4
A,1
G,1
Z,1
P,3
O,1
P,-1
G,-1
O,1
W,-1
R,1
X,2
Q,2
C,-1
Q,-2
Q,2
X,-2
A,-1
W,1
Q,1
U,1
G,2
P,1
Q,-3
U,-1
Z,-1
Y,-4
G,-2
R,-1
M,1
M,-1
Y,1
R,1
N,-2
Q,5
Q,-4
T,-1
X,-2
X,2
Y,3
Q,2
Y,1
W,-2
U,1
Q,-2
O,-1
W,1
M,1
X,1
Y,-2
Y,2
Y,-1
W,-1
R,-1
X,1
O,1
Y,-1
N,1
W,2
N,1
W,-1
P,1
Q,1
Q,-2
K,-1
Y,-2
O,-1
A,2
K,1
Y,2
Y,-1
C,1
Y,1
Y,2
W,-1
A,-1
T,-1
Z,1
T,2
O,2
Q,2
K,-2
U,-2
M,-1
W,1
W,1
A,1
M,2
U,2
M,-1
K,1
A,-1
J,1
U,-1
G,-1
M,-1
G,3
M,1
G,-1
K,2
K,-2
O,-1
U,1
D,1
U,-2
A,-1
T,-1
B,-3
W,-1
G,-1
U,1
W,-1
G,-1
Z,-1
T,-1
Y,-5
G,1
U,1
Y,5
B,1
G,-1
B,-1
D,-1
X,-1
Y,-4
Q,-1
U,-1
U,-1
J,-1
U,2
Q,1
U,-2
M,-1
Y,4
U,2
K,2
X,1
T,1
Z,-1
W,1
M,1
T,1
Q,-1
W,1
T,1
G,3
G,-2
G,-1
W,-1
W,-2
M,-1
W,2
T,-1
K,-2
M,1
Y,-1
W,-1
Z,2
O,1
M,1
X,-1
W,2
R,1
G,2
G,-2
Q,3
W,-1
Q,-2
G,2
G,-2
X,1
U,-2
K,-1
W,-2
M,-2
T,-1
Q,-1
K,1
X,-1
M,1
Q,-1
W,2
T,1
G,2
Y,1
Q,1
C,-1
X,1
O,-2
U,1
W,1
K,1
Z,-1
J,1
G,-1
N,-1
Y,-3
Q,-1
K,-1
U,-1
Y,3
Q,1
O,-1
X,-1
Q,-1
Y,-4
G,1
N,1
Y,1
U,1
Y,2
M,1
K,1
K,-1
Z,1
J,1
N,1
H,-1
R,-1
Q,1
H,-4
R,1
I,-2
J,-2
Z,-2
Y,-4
U,1
I,1
I,1
Y,3
Y,-2
Y,3
M,-1
U,-1
I,-1
H,2
Z,1
U,1
Z,1
V,-3
I,-1
I,1
R,-1
J,1
U,-2
V,1
T,-1
N,2
N,-2
N,1
V,-1
J,1
G,-1
V,1
J,-2
T,1
H,-1
C,1
M,1
Z,-1
X,2
