car,move
M,-1
U,1
B,-1
B,1
A,-2
G,-1
V,-2
C,1
A,4
H,1
O,1
A,-2
V,2
A,-1
W,-1
E,1
K,1
N,-1
C,-1
H,-1
D,-1
S,-1
R,1
U,-1
G,1
V,2
B,1
B,-3
E,1
D,1
C,2
B,3
V,-2
G,-1
I,1
A,1
A,1
Q,-1
B,-2
Q,1
R,-1
C,-2
C,2
A,-1
G,-1
N,1
N,-2
V,1
E,-1
N,1
H,1
I,-1
E,1
G,2
C,1
U,1
C,-2
A,-2
C,-2
B,1
B,-2
C,3
A,1
I,-1
U,-1
V,1
E,-1
V,-5
V,5
A,1
V,-3
U,1
N,1
A,-1
A,-1
C,-1
G,-1
C,-1
A,2
E,1
W,1
A,-2
A,1
B,1
U,-1
C,1
B,-2
V,2
B,4
A,2
E,-1
N,-1
A,-3
C,1
G,1
V,-2
W,-1
U,1
R,1
B,-3
A,1
V,-2
L,1
B,-1
B,3
C,-1
B,-2
H,-1
I,1
U,-1
Q,-1
C,1
G,-2
G,2
B,2
N,-1
Q,1
N,1
A,1
B,-2
H,1
A,-2
B,2
A,3
Q,-1
S,1
G,-1
A,-3
K,-1
A,1
A,1
W,1
C,-1
G,-1
Y,-1
A,1
A,1
H,-2
C,1
A,-2
M,-2
W,-1
L,-1
V,2
M,1
V,-1
A,2
U,1
V,-1
L,1
N,-1
C,-2
I,-1
N,1
X,1
A,-1
X,-1
Q,1
E,-2
E,2
A,-1
D,-2
E,-1
B,-1
N,-1
I,1
E,1
L,-1
A,-1
L,-1
U,-1
N,1
V,3
B,1
U,1
U,-1
M,1
Q,-1
B,-1
H,2
H,-1
V,-1
Q,1
E,-1
E,2
G,2
H,3
E,-1
B,2
H,-3
A,1
Y,1
E,1
D,1
A,-1
A,-1
B,-4
E,-1
Q,-1
I,-1
K,1
H,1
G,-1
S,-1
G,1
B,4
A,1
G,-1
V,-1
F,-2
G,1
Q,1
D,-1
V,4
F,1
V,-4
G,-1
Q,-1
A,1
I,1
W,1
V,3
Q,1
A,-1
I,-2
O,-1
I,1
A,-1
H,-1
V,-1
N,-1
I,1
I,1
O,1
Q,-1
V,1
N,1
H,2
B,-1
P,1
E,-1
G,1
M,-1
U,1
H,2
A,1
A,-1
C,-1
P,-1
H,-1
F,1
Q,1
B,1
L,2
L,-1
Q,-1
Q,1
A,1
Q,-1
E,1
U,-1
E,1
E,-1
O,-1
N,-3
Q,1
Q,-1
V,1
V,-2
L,-2
A,-1
Q,1
S,1
O,2
I,-1
O,-1
F,-1
X,2
G,2
R,-1
S,-1
V,1
E,-1
U,1
E,1
I,1
H,1
R,1
O,1
E,1
V,-1
D,1
D,-1
G,-1
X,-1
S,1
Q,-2
U,-1
T,-1
B,-1
D,1
B,-1
B,2
B,-2
B,2
T,1
L,1
W,-1
X,1
Q,-1
Q,2
A,1
L,-1
S,-1
B,-2
G,-1
V,2
F,1
E,-1
W,1
G,2
X,-1
G,-2
L,1
O,-2
N,2
X,-1
B,1
B,1
A,2
O,2
M,1
B,-1
V,-2
Q,-1
T,-1
T,1
B,1
V,1
T,-1
E,-1
N,-1
A,-3
L,2
V,1
L,-1
A,5
A,-4
M,-1
E,1
E,-1
B,-3
B,2
M,1
L,1
A,3
V,-1
B,1
V,1
E,1
J,-1
