car,move
F,-4
E,-1
B,3
A,-2
X,-3
B,-2
G,-3
D,-1
C,1
E,4
B,2
X,1
F,1
A,-1
F,3
X,-1
B,-3
D,-2
G,3
D,-1
B,3
X,3
A,3
B,-3
D,1
F,-4
D,-1
B,3
A,-2
X,-3
B,-2
G,-2
E,-4
H,-4
B,2
C,2
G,2
X,4
